text,proposed_category,cluster_id
晶華酒店,正常困難負樣本,17
知守經紀公司,正常困難負樣本,18
勝天經紀公司,正常困難負樣本,18
百家樂經紀人,黃特種行業,18
天威傳播經紀公司,黃特種行業,18
勝天經紀傳播公司,黃特種行業,18
八大徵人 娛樂網,黃特種行業,19
八大娛樂經紀,黃特種行業,19
八大電視台,正常困難負樣本,19
八大電視樂來越好聽,正常困難負樣本,19
八大電視台~娛樂百分百攝影棚,正常困難負樣本,19
天光公關娛樂公司-酒店經紀李昂,黃特種行業,20
菲梵影視傳播酒店經紀公司,黃特種行業,20
酒店經紀 小柏,黃特種行業,20
酒店經紀徐忠,黃特種行業,20
王牌酒店。新樂園酒店。紅樓夢男模會館    連鎖酒店 阿曜經理    為您提供完善服務,黃特種行業,20
翰品酒店[LOC]翔雲西餐廳,正常困難負樣本,21
林口爵怡溫德姆酒店 瑪嘉烈buffet餐廳,正常困難負樣本,21
長榮鳳凰酒店桂冠自助餐廳,正常困難負樣本,21
[LOC]美食 大八大飯店,正常困難負樣本,21
[LOC]富野渡假酒店/富野西餐廳,正常困難負樣本,21
均岱-不動產經紀人,正常困難負樣本,22
民豐地政士 - 代書不動產經紀人事務所,正常困難負樣本,22
群芳不動產經紀股份有限公司,正常困難負樣本,22
善住不動產經紀有限公司,正常困難負樣本,22
正欣不動產仲介經紀企業社,正常困難負樣本,22
嘉楠風華酒店,正常困難負樣本,23
鴻欣酒店,正常困難負樣本,23
[LOC]瀚品酒店,正常困難負樣本,23
桂田酒店,正常困難負樣本,23
君祥酒店,正常困難負樣本,23
嘉和娛樂經紀公司,黃特種行業,24
夏綠蒂經紀娛樂公司,黃特種行業,24
怡佳娛樂經紀,黃特種行業,24
天臨娛樂經紀公司,黃特種行業,24
獵豔娛樂經紀公司,黃特種行業,24
耽美公關咖啡廳 分館,黃特種行業,25
執事ღ公關咖啡廳,黃特種行業,25
隱嵐執事ღ旭舞公關咖啡廳,黃特種行業,25
駭骨公關咖啡廳,黃特種行業,25
公關咖啡廳,黃特種行業,25
幽思公關部,黃特種行業,26
梦戀·公關部,黃特種行業,26
鬼魅公關部,黃特種行業,26
魔戀公關部,黃特種行業,26
墜夢公關部,黃特種行業,26
Ai[LOC]夜店公關Larmar,黃特種行業,27
2014 雄友之夜 x 雄腥酒店,正常困難負樣本,27
[LOC]夜店Ai Nightclub 公關Henry,黃特種行業,27
Wave夜店 公關阿哲 [LOC]夜店,黃特種行業,27
[LOC]頂級夜店Ai Nightclub 訂位駐店公關DaDa,黃特種行業,27
曙光公關部,黃特種行業,28
傾緣公關部,黃特種行業,28
司創公關,正常困難負樣本,28
幽染公關部。,黃特種行業,28
炩漣×公關部,黃特種行業,28
[LOC]晶華酒店,正常困難負樣本,29
[LOC]太子酒店,正常困難負樣本,29
[LOC]君品酒店,正常困難負樣本,29
[LOC]晶英酒店,正常困難負樣本,29
[LOC]長榮桂冠酒店,正常困難負樣本,29
財務自由學苑,詐騙高風險招募,0
小資女財務自由專區,詐騙高風險招募,0
傑克戴成霖-財務自由學苑,詐騙高風險招募,0
載物書院 財務自由小組,詐騙高風險招募,0
財務自由《三商美邦人壽》,詐騙高風險招募,0
幣兄弟 - 以幣致富 : 區塊鏈投資,詐騙高風險招募,1
金線國際金融互助系統—網路賺錢印鈔術+有錢人致富的秘密！,詐騙高風險招募,1
致富導航器~理財遊戲,詐騙高風險招募,1
致富理財金錢報,詐騙高風險招募,2
致富關鍵，就在理財,詐騙高風險招募,2
理財致富保證贏,詐騙高風險招募,2
理財致富平台,詐騙高風險招募,2
致富必學的理財知識,詐騙高風險招募,2
現領日領人力粗工打石憲哥的生活地圖,詐騙高風險招募,3
蔣公（Chiang Kai-shek）民族英雄 抗日領袖 時代巨人 自由燈塔,正常困難負樣本,3
致富协会,詐騙高風險招募,4
致富幫,詐騙高風險招募,4
順流致富聯盟,詐騙高風險招募,4
一頁致富社,詐騙高風險招募,4
【嬙虹身心靈致富管理研究學院】,詐騙高風險招募,4
外匯致富列車俱樂部Forex Train Club,詐騙高風險招募,5
中興機車出租-站前成功店 [LOC]火車站 推薦 便宜租車 [LOC]租機車 [LOC]租汽車 平價租車  價格便宜 [LOC]旅遊景點 免押證免押金免簽本票,詐騙高風險招募,6
中興機車出租-站前店 [LOC]租機車/火車站租機車/機車出租/包車旅遊/免簽本票免押金免押證件,詐騙高風險招募,6
車中寶租車 機車出租 [LOC]租機車 [LOC]租汽車 朝馬租機車100起 汽車550 價格便宜推薦免本票免押證免押金火車站1分鐘line:0978459414,詐騙高風險招募,6
宜展通訊-免卡分期 [LOC]羅東中正店-在地服務15年以上老店【全省線上免卡分期、免出門、實體店面、門號申辦、手機維修】超低門檻過件率高。無薪轉證明可分期,詐騙高風險招募,6
[LOC]房市 × 唯有投資才能致富 × [LOC]區不動產買/賣/出租資訊,詐騙高風險招募,6
共好致富,詐騙高風險招募,7
致富生活,詐騙高風險招募,7
思考致富文創,詐騙高風險招募,7
學測&致富達人周致偉,詐騙高風險招募,7
艾多美生活致富家,詐騙高風險招募,7
嘉慧致富商城,詐騙高風險招募,8
致富車業,詐騙高風險招募,8
致富集裝箱公司,詐騙高風險招募,8
致富巨星商場,詐騙高風險招募,8
28上車致富站,詐騙高風險招募,8
理財致富房地產商學院,詐騙高風險招募,9
房地產行動致富,詐騙高風險招募,9
笙豐Ema國際娛樂-找工作、日領現領打工、兼差、兼職,詐騙高風險招募,10
大[LOC]找工作專區 日領周領住宿,詐騙高風險招募,10
[LOC]找工作-日領/週領/月借,詐騙高風險招募,10
短期打工/兼職/正職/日領/高薪/大[LOC]找工作,詐騙高風險招募,10
"高薪現領,兼差兼職,高薪日領的工作",詐騙高風險招募,10
致富房網-勝義地產粉絲團,詐騙高風險招募,11
盛特斯【貧窮致富網路商機】,詐騙高風險招募,11
「生耕致富」系列講座/論壇,詐騙高風險招募,11
樂活 農地 致富網粉絲團,詐騙高風險招募,11
致富密碼商學院,詐騙高風險招募,11
Yamaha  炫富車業,詐騙高風險招募,12
0元翻身致富秘訣【投資理財/兼職打工/創業賺錢】,詐騙高風險招募,13
財務自由夢想藍圖,詐騙高風險招募,14
看見財務自由,詐騙高風險招募,14
冷月映照 - 價值投資與財務自由,詐騙高風險招募,14
致富好好  - 藝文特區新案,詐騙高風險招募,15
妙姐ღ致富迪迪龍,詐騙高風險招募,15
永恆的致富腦袋,詐騙高風險招募,15
東海摳屁炫富一哥  黃璟修,詐騙高風險招募,15
宋老師致富指標,詐騙高風險招募,15
Shiny  珠寶致富學堂 Jewelry Makes U Rich,詐騙高風險招募,16
街友求職【日領】工作平台 / hawori-Taiwan,詐騙高風險招募,17
阿拉斯加致富系統_南區,詐騙高風險招募,18
九隻虎Tiger 揪你健康財務自由享樂人生,詐騙高風險招募,19
獅子財務自由部落,詐騙高風險招募,19
學校老師沒教的致富秘訣,詐騙高風險招募,20
捷豹-成功致富理財專業團隊,詐騙高風險招募,21
消費致富團購共營 3014團隊,詐騙高風險招募,21
致富寶專業分析團隊,詐騙高風險招募,21
成功致富團隊,詐騙高風險招募,21
一球致富 賽事分析團隊,詐騙高風險招募,21
一起來投資中古屋快速致富,詐騙高風險招募,22
一起來投資中古屋快速成功致富,詐騙高風險招募,22
最新商機與投資理財獵人團之翻身致富財務自由大家族,詐騙高風險招募,22
紹鴻教會你投資、行銷、銷售、企管致富,詐騙高風險招募,22
股票致富 權證翻倍 投資討論區,詐騙高風險招募,22
致富之不能說的秘密,詐騙高風險招募,23
致富的秘密,詐騙高風險招募,23
富豪致富密碼,詐騙高風險招募,23
致富秘密研究所-Secret to Rich,詐騙高風險招募,23
風行一百年最強的致富行銷秘密免費提供,詐騙高風險招募,23
不上班就有錢-邁向財務自由【投資理財/兼職創業/網路賺錢】,詐騙高風險招募,24
0元生活無痛消費人人致富,詐騙高風險招募,24
零經驗也能致富的房產投資術,詐騙高風險招募,24
微商创造致富 靠部手机轻松工作时间自由 您的收入您决定不封顶 【Cellglo全球火热招商】,詐騙高風險招募,24
理財投資/娛樂事業/短期致富/徵才兼職,詐騙高風險招募,24
[LOC][LOC]平鎮打工臨時工日領 看護,詐騙高風險招募,25
億力信人力派遣/[LOC]人力派遣/員林人力派遣/工廠工/[LOC]粗工/[LOC]臨時工/日領,詐騙高風險招募,25
股市狼 - 投機致富pub,詐騙高風險招募,26
股票致富,詐騙高風險招募,26
Chief Stock 致富思維,詐騙高風險招募,26
股市贏家不告訴你的致富習慣：從思考到實戰,詐騙高風險招募,26
世界华人致富学权威：周文强老师,詐騙高風險招募,27
Get Your Rich Mind:你的致富人生,詐騙高風險招募,28
創業创业致富生意商机(金桑),詐騙高風險招募,29
創業致富家,詐騙高風險招募,29
創業致富學習文創中心,詐騙高風險招募,29
創業致富的方法 賺錢 投資 被動收入,詐騙高風險招募,29
致富種子商學院 -集思通路,詐騙高風險招募,29
中彰二胎貸款  土地 房屋 持分 借款,借貸融資,0
房屋二胎貸款、土地持分貸款、持分房屋貸款、公同共有持分買賣、張代書,借貸融資,0
龐德隆不動產融資公司《房屋土地一二胎案件交流、房屋土地一二胎貸款、房屋土地轉貸增貸降息》,借貸融資,0
正順資產鈔好貸 專辦銀行房屋貸款/持分不動產收購或借貸/房屋土地二三胎 /不動產查封撤封/可本利攤還,借貸融資,0
鉅航不動產顧問公司-土地貸款房屋貸款,借貸融資,0
宸信法拍,借貸融資,1
法拍小陳,借貸融資,1
法拍房訊,借貸融資,1
法拍阿君,借貸融資,1
永信小額借款,借貸融資,1
［老徐推車］推薦嚴選二手車認證中古車/[LOC] [LOC] [LOC]/貸款強力過件,借貸融資,2
新莊宏成公營當舖-汽機車借款免留車 分期車借錢 原車使用 不留車 新莊區優質當舖 手錶典當 黃金鑽石名牌精品買賣 [LOC]汽車借款[LOC]機車借款 流當品買賣,借貸融資,2
萬事達當舖_[LOC]機車借款/[LOC]汽車借款/小額借款/轉當增貸/免留車,借貸融資,2
[LOC]市寶鴻當舖【免留車】【政府立案】,借貸融資,2
玄麟鈔好借‧實體店《借錢、各類貸款、借貸、汽機車增貸、房屋土地二胎、銀行融資》,借貸融資,2
永豐國際理財貸款,借貸融資,3
聿禾國際理財貸款,借貸融資,3
富信國際-貸款融資,借貸融資,3
花旗國際理財貸款,借貸融資,3
誼興國際【專業銀行貸款諮詢】,借貸融資,3
永元當舖】[LOC]合法當舖推薦】[LOC]重機借款】[LOC]汽機車借款當舖】,借貸融資,4
[LOC]宏鎰當舖 [LOC]當舖 [LOC]機車借款 [LOC]汽車借款,借貸融資,4
[LOC]汽車借款 [LOC]機車借款 [LOC]當舖 [LOC]匯豐當舖,借貸融資,4
[LOC]當舖 兆豐當舖 [LOC]汽車借款 [LOC]機車借款,借貸融資,4
[LOC]華南當舖-[LOC]汽車借款 [LOC]機車借款,借貸融資,4
全欣中古車庫/認證車/中古車/專辦全額貸款,借貸融資,5
歐噴新車/中古車批發零售/二手車買賣/私下分期強力過件,借貸融資,5
永弘資有限公司和潤汽機車貸款,借貸融資,5
遠信專業貸款-吳副理,借貸融資,5
遠信貸款專員-楊永裕,借貸融資,5
自強當舖/汽/機車/金飾借款,借貸融資,6
融興理財通 銀行信貸 房貸 車貸 二胎貸款 持分貸款 機車分期 債務協商,借貸融資,6
鼎紳特約經銷-專辦汽機車貸款/銀行.融資貸款,借貸融資,6
不話術好車貸 -新車/中古車/汽車/重機車/計程車/貨車 分期、貸款,借貸融資,6
借貸 貸款 怡晴 實體門市,借貸融資,6
萬承金融貸款,借貸融資,7
遠信貸款理財,借貸融資,7
貸款理財通,借貸融資,7
理財貸款通,借貸融資,7
快客立貸款融資,借貸融資,7
解除銀行車貸扣薪丶債務問題協助,借貸融資,8
解除銀行催繳扣薪.執行命令.債務問題協助,借貸融資,8
解除銀行車貸扣薪 . 債務問題協助,借貸融資,8
解除銀行車貸扣薪．債務問題協助,借貸融資,8
解除銀行車貸扣薪。債務問題協助,借貸融資,8
大華當舖 [LOC]當鋪 汽車借款 機車借款,借貸融資,9
[LOC]雲科當舖 汽機車借款 免留車,借貸融資,9
[LOC]豐原永奇當舖-汽車機車借款-免留車當鋪,借貸融資,9
宏達當舖 汽機車借款,借貸融資,9
日友當舖 [LOC]當舖 汽車借款 機車借款,借貸融資,9
天河貸款,借貸融資,10
殷琦專員 輕鬆借款,借貸融資,10
郭貸夫小額貸款,借貸融資,10
輕鬆借款 殷琦專員,借貸融資,10
貸款圓夢達人,借貸融資,10
法拍大仁—房屋土地買賣、法拍不動產平台,借貸融資,11
雄信不動產（雄信房屋&法拍屋）,借貸融資,11
騰哥法拍屋•土地•房屋•仲介,借貸融資,11
雄信不動產 中古屋/法拍屋/土地 開發 仲介 代標,借貸融資,11
雄信法拍  仲介 房屋/土地/廠房,借貸融資,11
瑋瑋貸款站-小額信貸 資金周轉 代償高利 民間轉銀行,借貸融資,12
任展理財-楊經理 貸款專家 全台皆可貸款 汽車貸款 機車貸款 信用貸款 手機貸款 商品貸款 企業貸款 房屋土地貸款 貸過可在貸 債務整合 轉貸降息,借貸融資,12
借款周轉．卓越貸款．專辦各項信貸．汽機車貸款,借貸融資,12
全省擔保品借款,借貸融資,12
銀行貸款信貸車貸房貸強力過件,借貸融資,12
Ya速貸 銀行貸款,借貸融資,13
快速借款找浩浩,借貸融資,13
速配貸 - 銀行貸款最速配,借貸融資,13
輕鬆借款 快速撥款,借貸融資,13
鈔好借 小額快速借款,借貸融資,13
易立貸款,借貸融資,14
貸款ㄧ點通,借貸融資,14
速易貸 精準貸款,借貸融資,14
速易貸精準貸款,借貸融資,14
榛好貸理財貸款,借貸融資,14
承明開發．法拍屋,借貸融資,15
法拍屋-[LOC]地方法院-小林法拍,借貸融資,15
全民法拍屋,借貸融資,15
法拍綜合資訊網__諦盟資產,借貸融資,15
法拍綜合資訊網   諦盟資產,借貸融資,15
安心貸款理財顧問,借貸融資,16
鉅富貸款理財顧問,借貸融資,16
遠信貸款顧問,借貸融資,16
御豐金融 - 貸款理財專業顧問,借貸融資,16
宗宸專業金融貸款顧問,借貸融資,16
誠耀不動產 房屋二胎借款,借貸融資,17
房屋貸款，房屋二胎，土地借款，持分皆可，湯代書,借貸融資,17
紓困貸款 小額貸款 信貸 車貸 二胎房貸,借貸融資,17
房屋一二胎，持分借款，陽信代書,借貸融資,17
持分房屋貸款/蘇代書,借貸融資,17
專業貸款推薦,借貸融資,18
專業貸款專員,借貸融資,18
全方位貸款顧問,借貸融資,18
貸款專家 四綸貸款,借貸融資,18
樂易貸-貸款諮詢專家,借貸融資,18
阿森好車.實在嚴選-專辦全額貸.強力過件,借貸融資,19
小蔡重機／專業二手重機買賣／專業協助貸款,借貸融資,19
小額借款  現金求助站,借貸融資,19
勁草聯誼會-大[LOC]法拍屋拍賣訊息,借貸融資,19
法拍屋ez購 - 法拍屋速成保證班,借貸融資,19
和潤汽車貸款,借貸融資,20
伍一精品當舖-汽車借款,借貸融資,20
大正當舖汽車借款,借貸融資,20
信吉銀行汽車貸款,借貸融資,20
聯大汽車借款,借貸融資,20
小額週轉。各式借款,借貸融資,21
小額週轉 現金借款,借貸融資,21
資金週轉 證件借款 找小紹,借貸融資,21
華爾街融資 貸款 週轉 借錢 資金,借貸融資,21
借款週轉 小額借款,借貸融資,21
松旺汽車 中古車 買車賣車 分期 原車融資借款 保險 服務,借貸融資,22
私分車 中古車 二手車 全額貸款,借貸融資,22
全額貸購車 原車融資 轉增貸,借貸融資,22
真誠汽車買賣中古車代步車私下分期汽車貸款,借貸融資,22
中古車買賣、貸款、原融,借貸融資,22
鈔急貸 資金周轉 債務整合,借貸融資,23
銀行貸款整合負債/田美倫,借貸融資,23
貸款大師一專營銀行貸款、負債整合,借貸融資,23
熊兒融資貸款債務整合,借貸融資,23
誠信金銀行債務整合/洪如妹,借貸融資,23
機車貸款林襄理,借貸融資,24
汽機車貸款,借貸融資,24
汽 機車貸款諮詢,借貸融資,24
汽機車貸款理財通,借貸融資,24
和潤融資-機車貸款,借貸融資,24
富勝理財顧問貸款中心,借貸融資,25
合信貸款中心,借貸融資,25
泓信貸款中心,借貸融資,25
崴利理財貸款｜貸款中心,借貸融資,25
代書貸款-萬達理財中心,借貸融資,25
[LOC]法拍屋,借貸融資,26
法拍屋[LOC],借貸融資,26
法拍屋-[LOC]-小林法拍,借貸融資,26
[LOC]法拍屋專區-戚婕如,借貸融資,26
法拍屋[LOC][LOC],借貸融資,26
小蘇優質嚴選中古車【全額貸 、超額貸、車換車專區】,借貸融資,27
讚到底汽車 改裝車專賣店 中古車貸款強力過件,借貸融資,27
車貸找芯羭（中古車洽詢、購車增貸、汽車全額貸款）,借貸融資,27
全額貸嚴選中古車,借貸融資,27
全額貸ｘ超額貸ｘ中古車,借貸融資,27
中信法拍,借貸融資,28
法拍屋快訊,借貸融資,28
法拍屋資訊站,借貸融資,28
小陳法拍快訊,借貸融資,28
小林法拍快訊/全省法拍代標,借貸融資,28
建鑫小額貸款,借貸融資,29
貸款專家  新鑫股份有限公司 黃專員,借貸融資,29
眾鑫專業貸款,借貸融資,29
眾鑫貸款顧問,借貸融資,29
進鑫金融-貸款顧問公司,借貸融資,29
萬盛娛樂城,博弈,0
金爽娛樂城,博弈,0
威勝娛樂城,博弈,0
百樂娛樂城,博弈,0
鉅城娛樂城,博弈,0
百濠娛樂城,博弈,1
金賀盈娛樂城,博弈,1
昊陽娛樂城,博弈,1
葡京娛樂城,博弈,1
福財娛樂城,博弈,1
菁英運彩分析團隊,博弈,2
大力運彩專業分析,博弈,2
不倒翁 運彩賽事分析,博弈,2
運彩阿傑-賽事分析,博弈,2
運彩賽事專業分析,博弈,2
台灣運彩討論分析,博弈,3
台灣運彩專業分析,博弈,3
台灣運彩高手分析師,博弈,3
台灣運彩賽事分析,博弈,3
THA 台灣彩球運彩專業分析粉絲團,博弈,3
玩運彩 - 運動彩券朋友圈,博弈,4
運彩重點賽事投注指標,博弈,4
運彩 百家樂  賓果 六合彩 分析,博弈,4
鑫寶娛樂城-線上博弈、運彩分析、賽事預測、運彩討論,博弈,4
玩運彩精準六合彩體育,博弈,4
包你發娛樂城【好旺角銀行】,博弈,5
包你發娛樂城【一路發金庫】,博弈,5
包你發娛樂城【金發財】,博弈,5
包你發娛樂城【金好贏金流】,博弈,5
包你發娛樂城【金好康金庫】,博弈,5
左右包鈔運彩商行,博弈,6
Ts天下娛樂城現金儲值版,博弈,6
潘朵拉運彩投資,博弈,6
大黑運彩投資集團,博弈,6
獲利運彩,博弈,6
Super 8 娛樂城 總代理,博弈,7
Super8線上娛樂城,博弈,7
S8直營娛樂城,博弈,7
S8娛樂城,博弈,7
Super8娛樂城,博弈,7
御鑫online娛樂城,博弈,8
新濠天地真人直播娛樂城,博弈,8
九州娛樂城～天下現金網,博弈,8
九州娛樂城tha,博弈,8
沙龍百家樂-沙龍娛樂城,博弈,8
博弈交流粉專,博弈,9
博弈大小事,博弈,9
博弈娛樂推薦,博弈,9
博弈擺渡人,博弈,9
赤碧城博弈娛樂網,博弈,9
金銀島娛樂城VegasCasino,博弈,10
星匯娛樂城 STAR Casino,博弈,10
「 Full House Casino 富豪娛樂城」,博弈,10
Full House Casino 富豪娛樂城,博弈,10
Big Boss Casino 大咖娛樂城,博弈,10
興中娛樂城,博弈,11
鑫璽娛樂城,博弈,11
鑫寶娛樂城,博弈,11
寶島娛樂城,博弈,11
美高梅娛樂城,博弈,11
運彩校色所,博弈,12
運彩救紅中心,博弈,12
轟運彩TrUmp CaRd,博弈,12
運彩大綠特區,博弈,12
運彩補給站,博弈,12
911娛樂城總公司,博弈,13
911 24h娛樂城,博弈,13
911娛樂城  代理筱喬,博弈,13
靠北博弈 - 揭發黑網,博弈,14
靠北博弈-曝光黑網,博弈,14
靠北博弈,博弈,14
靠北博弈 - 黑網侵襲,博弈,14
靠北博弈3.0,博弈,14
Winbet 贏家娛樂城,博弈,15
運彩大贏家,博弈,15
天降鴻運彩券行,博弈,15
鴻運彩券行,博弈,15
贏馬娛樂城,博弈,15
大老爺娛樂城丨致勝百家樂分析,博弈,16
利亨娛樂城｜百家樂/體育/老虎機通通有,博弈,16
金好運娛樂城「龍門鏢局」交流心得,博弈,16
戲遊記線上娛樂城,博弈,16
穩發財鬥陣娛樂城聯盟102801,博弈,16
運彩招財貓,博弈,17
運彩小偉,博弈,17
加烽運彩,博弈,17
鈞富台運彩彩卷行,博弈,17
運彩神人,博弈,17
Play娛樂城- xx5858.net- 體育賽事、真人百家、電子遊藝、球賽直播、台灣運彩,博弈,18
九州娛樂城-真人線上遊戲,博弈,18
全國最大泰豐國際娛樂城-真人視訊百家樂/最齊全電子遊藝/北京賽車/幸運飛艇/多元化分分彩彩票遊戲,博弈,18
御天下娛樂城-真人視訊博弈館，mlb、nba運彩，電子，老虎機,博弈,18
贏家娛樂城win539.net/ 博弈/運動賽事/現金/球版/棒球/運彩/百家/輪盤/北京賽車/極速賽車/打工/兼差/休閒/真人/專業分析/投資賺錢,博弈,18
I88娛樂城,博弈,19
I88線上現金博弈娛樂城,博弈,19
I88歡樂娛樂城,博弈,19
I88娛樂城 總代理,博弈,19
I88娛樂城總代理,博弈,19
911娛樂城 陳可專屬,博弈,20
911線上娛樂城,博弈,20
911-娛樂城,博弈,20
911線上博奕娛樂城,博弈,20
911娛樂城,博弈,20
連發運彩分析,博弈,21
運彩分析,博弈,21
大立運彩分析,博弈,21
Kaz運彩分析,博弈,21
運彩情報分析站,博弈,21
綠色實業運彩分析,博弈,22
運彩綠起來,博弈,22
綠綠發運彩  賽事分析-金川,博弈,22
綠騎士運彩專業分析,博弈,22
運彩神準綠,博弈,22
運彩幫,博弈,23
運彩寧寧,博弈,23
運彩大師,博弈,23
運彩總動員,博弈,23
運彩神棍,博弈,23
運彩體育分析,博弈,24
運彩專家Sports,博弈,24
時來運彩-體育論壇,博弈,24
運動與博弈,博弈,24
運彩籃球足球棒球 琇出新世界,博弈,24
大頭家娛樂城,博弈,25
金讚娛樂城,博弈,25
眾發娛樂城,博弈,25
大立娛樂城,博弈,25
飆悍娛樂城,博弈,25
曼尼520娛樂城、體育賽事、真人現場、電子遊藝、賓果彩球、台灣運彩、百家樂、21點、骰寶骰子、輪盤、水果盤、slot、拉霸、老虎機,博弈,26
八方娛樂城、體育賽事、真人現場、電子遊藝、賓果彩球、台灣運彩,博弈,26
博馬娛樂城、天下運動網、運動彩券、台灣運彩、運彩、黃金俱樂部、百家樂、21點、骰寶骰子、輪盤、水果盤、slot、拉霸、老虎機,博弈,26
樂球網-體育運彩信用球版-北京極速賽車,博弈,26
靠北北京賽車- 靠北博弈- 黑心娛樂城,博弈,26
阿發運彩免費報牌分享資訊,博弈,27
威博運彩資訊網,博弈,27
永利運彩數據網,博弈,27
免費運彩秘報,博弈,27
運彩推薦與討論區,博弈,27
雄準運彩539天天樂情報網,博弈,28
阿亮運彩免費報牌,博弈,28
錢哥運彩539-六合彩-二區,博弈,28
AN 運彩六合百家綜合報牌,博弈,28
洛哥運彩539,博弈,28
金三巴娛樂城,博弈,29
博馬娛樂城,博弈,29
百利娛樂城,博弈,29
雀神娛樂城,博弈,29
多金娛樂城,博弈,29
